crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
182	13	2	B	KK	2017-02-17	4.791	2017-11-01	NA	207	344	904WPG	5	kaal	892WKG	5	kaal	between	KK	904-5 x 892-5	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.5	kaal904WPG
2	5	12	NA	HH	2017-02-14	13.684	2017-11-01	NA	208	341	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
148	3	9	B	KH	2017-02-17	11.784	2017-11-01	NA	209	344	904WPG	2	kaal	879WKG	10-1	hook	hybrid	KH	904-2 x 879-10-1	kaal.hybrid	kaal.hybrid.904WPG.2	904WPG.2	879WKG.10-1	kaal904WPG
67	15	5	A	HK	2017-02-18	18.174	2017-11-01	NA	210	345	WK	2	hook	892WKG	4	kaal	hybrid	HK	794-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
66	16	5	A	HK	2017-02-17	9.605	2017-11-01	NA	211	344	WK	2	hook	892WKG	1	kaal	hybrid	HK	794-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
67	18	5	A	HK	2017-02-14	11.074	2017-11-01	NA	212	341	WK	2	hook	892WKG	4	kaal	hybrid	HK	794-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
213	13	4	B	KK	2017-02-17	5.705	2017-11-01	NA	213	344	3587WP	14	kaal	904WPG	3	kaal	between	KK	3587-14 x 904-3	kaal.between	kaal.between.3587WP.14	3587WP.14	904WPG.3	kaal3587WP
167	5	2	B	KK	2017-02-17	6.367	2017-11-01	NA	214	344	904WPG	3	kaal	892WKG	4	kaal	between	KK	904-3 x 892-4	kaal.between	kaal.between.904WPG.3	904WPG.3	892WKG.4	kaal904WPG
61	3	1	A	HH	2017-02-18	16.688	2017-11-01	NA	215	345	WK	2	hook	879WKG	G-2	hook	between	HH	794-2 x 879-G-2	hook.between	hook.between.WK.2	WK.2	879WKG.G-2	hookWK
22	3	1	B	HH	2017-02-17	20.67	2017-11-01	NA	216	344	879WKG	10-1	hook	WK	2E- 1	hook	between	HH	879-10-1 x 899-2E- 1	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2E- 1	hook879WKG
184	11	14	NA	KK	2017-02-17	5.277	2017-11-01	NA	217	344	904WPG	5	kaal	904WPG	3	kaal	within	KK	904-5 x 904-3	kaal.within	kaal.within.904WPG.5	904WPG.5	904WPG.3	kaal904WPG
78	12	11	NA	HH	2017-02-17	22.135	2017-11-03	NA	218	344	WK	4	hook	WK	2	hook	within	HH	794-4 x 794-2	hook.within	hook.within.WK.4	WK.4	WK.2	hookWK
179	8	2	B	KK	2017-02-17	13.89	2017-11-03	NA	219	344	904WPG	5	kaal	892WKG	1	kaal	between	KK	904-5 x 892-1	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.1	kaal904WPG
12	18	9	A	HK	2017-02-17	27.671	2017-11-03	NA	220	344	879WKG	2-2	hook	904WPG	5	kaal	hybrid	HK	879-2-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.5	hook879WKG
44	1	9	A	HK	2017-02-17	29.095	2017-11-03	NA	221	344	879WKG	H-2	hook	904WPG	5	kaal	hybrid	HK	879-H-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.H-2	879WKG.H-2	904WPG.5	hook879WKG
9	18	8	A	HK	2017-02-17	19.3	2017-11-03	NA	222	344	879WKG	2-2	hook	892WKG	5	kaal	hybrid	HK	879-2-2 x 892-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.5	hook879WKG
134	3	8	B	KH	2017-02-17	15.527	2017-11-03	NA	223	344	892WKG	5	kaal	879WKG	2-2	hook	hybrid	KH	892-5 x 879-2-2	kaal.hybrid	kaal.hybrid.892WKG.5	892WKG.5	879WKG.2-2	kaal892WKG
75	18	1	A	HH	2017-02-17	19.767	2017-11-03	NA	224	344	WK	4	hook	879WKG	10-1	hook	between	HH	794-4 x 879-10-1	hook.between	hook.between.WK.4	WK.4	879WKG.10-1	hookWK
12	4	9	A	HK	2017-02-18	15.679	2017-11-03	NA	225	345	879WKG	2-2	hook	904WPG	5	kaal	hybrid	HK	879-2-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.5	hook879WKG
19	2	1	B	HH	2017-02-17	17.107	2017-11-03	NA	226	344	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 794-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
74	13	1	A	HH	2017-02-14	13.811	2017-11-03	NA	227	341	WK	4	hook	879WKG	2-2	hook	between	HH	794-4 x 879-2-2	hook.between	hook.between.WK.4	WK.4	879WKG.2-2	hookWK
10	11	9	A	HK	2017-02-17	9.072	2017-11-03	NA	228	344	879WKG	2-2	hook	904WPG	2	kaal	hybrid	HK	879-2-2 x 904-2	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.2	hook879WKG
1	2	12	NA	HH	2017-02-17	26.963	2017-11-03	NA	229	344	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
196	13	3	B	KK	2017-02-14	10.5	2017-11-08	NA	230	341	3587WP	7	kaal	892WKG	5	kaal	between	KK	3587-7 x 892-5	kaal.between	kaal.between.3587WP.7	3587WP.7	892WKG.5	kaal3587WP
93	10	11	NA	HH	2017-02-17	18.2	2017-11-08	NA	231	344	WK	2	hook	WK	4	hook	within	HH	866-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
50	10	1	B	HH	2017-02-14	20.677	2017-11-08	NA	232	341	879WKG	N-5	hook	WK	4	hook	between	HH	879-N-5 x 794-4	hook.between	hook.between.879WKG.N-5	879WKG.N-5	WK.4	hook879WKG
39	9	9	A	HK	2017-02-17	19.83	2017-11-08	NA	233	344	879WKG	G-2	hook	904WPG	5	kaal	hybrid	HK	879-G-2 x 904-5	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	904WPG.5	hook879WKG
101	10	7	A	HK	2017-02-17	13.794	2017-11-08	NA	234	344	WK	2	hook	3587WP	C	kaal	hybrid	HK	866-2 x 3587-C	hook.hybrid	hook.hybrid.WK.2	WK.2	3587WP.C	hookWK
61	18	1	A	HH	2017-02-14	16.139	2017-11-08	NA	235	341	WK	2	hook	879WKG	G-2	hook	between	HH	794-2 x 879-G-2	hook.between	hook.between.WK.2	WK.2	879WKG.G-2	hookWK
179	1	2	B	KK	2017-02-17	17.406	2017-11-08	NA	236	344	904WPG	5	kaal	892WKG	1	kaal	between	KK	904-5 x 892-1	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.1	kaal904WPG
2	9	12	NA	HH	2017-02-14	16.14	2017-11-08	NA	237	341	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
4	5	1	B	HH	2017-02-14	11.207	2017-11-08	NA	238	341	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
66	17	5	A	HK	2017-02-17	16.372	2017-11-08	NA	239	344	WK	2	hook	892WKG	1	kaal	hybrid	HK	794-2 x 892-1	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.1	hookWK
